dataset,model,accuracy,macro_f1,auc_roc
Breast Cancer Wisconsin,AdaBoost,0.9734513274336283,0.9711366538952746,0.9859154929577465
Breast Cancer Wisconsin,Gradient Boosting,0.9203539823008849,0.914314601061589,0.9641180415828303
