dataset,model_a,model_b,n_folds,accuracy_mean_diff,accuracy_t_stat,accuracy_p_value,macro_f1_mean_diff,macro_f1_t_stat,macro_f1_p_value,auc_roc_mean_diff,auc_roc_t_stat,auc_roc_p_value,accuracy_p_value_holm,macro_f1_p_value_holm,auc_roc_p_value_holm
Breast Cancer Wisconsin,Random Forest,AdaBoost,5,0.0017388604253997908,0.18557282004122022,0.8618099755595703,0.002226984349774486,0.2213385607372566,0.8356688765485666,-0.0018766344839060256,-0.5803794958212108,0.5927841502672265,0.8618099755595703,0.8356688765485666,0.5927841502672265
Adult Income,Random Forest,AdaBoost,5,0.009111048764544516,14.748491300666688,0.00012301728928110594,0.023396489079634784,16.818587225547873,7.325315027834803e-05,0.010059287082271107,11.61290993448493,0.0003142081122216136,0.00036905186784331784,0.00021975945083504408,0.0009426243366648407
Covertype,Random Forest,AdaBoost,5,0.23261999999999997,19.694516163528636,3.9205057600385834e-05,0.42093244178795236,35.12325637936446,3.921288950474101e-06,0.08620493508028779,37.03358224315204,3.174389669726279e-06,0.00015682023040154334,1.5685155801896405e-05,1.2697558678905115e-05
MNIST2Class,Random Forest,AdaBoost,5,0.00040595399188090295,1.8090680674664241,0.1447039986063569,0.00040770395466320774,1.8089652610141114,0.1447212974122382,4.643658193148603e-06,2.8470147961212655,0.04653607281073797,0.2894079972127138,0.2894425948244764,0.09307214562147594
