dataset,components_for_90pct_variance,kmeans_best_k,kmeans_ari,dbscan_eps,dbscan_ari,dbscan_noise_fraction
Breast Cancer Wisconsin,7,2,0.6592305570949524,0.5455012778108456,0.44961598901306166,0.26537785588752194
Digits High-Dimensional,29,8,0.34619247596764735,0.4910856792681315,0.14737301730971372,0.208
Covertype Rare Class,39,3,0.019663739463836198,0.2073987142407589,0.12279511605127703,0.0428
